word,frequency,compound,negative,neutral,positive
unemployment,0.22335745560383016,-0.4404,1.0,0.0,0.0
currency,1.6762657908286398,0.0,0.0,1.0,0.0
fluctuations,1.7359866091731422,0.0,0.0,1.0,0.0
impact,2.9543019798722643,0.0,0.0,1.0,0.0
consumer,1.0407601203422086,0.0,0.0,1.0,0.0
confidence,0.5236445852071737,0.5106,0.0,0.0,1.0
spending,0.42574302747745385,0.0,0.0,1.0,0.0
demand,3.2929430727654485,-0.128,1.0,0.0,0.0
products,16.440020387978482,0.0,0.0,1.0,0.0
services,9.637917546572119,0.0,0.0,1.0,0.0
response,0.6617402181252168,0.0,0.0,1.0,0.0
market,2.4382458894160774,0.0,0.0,1.0,0.0
volatility,1.0139441980817467,0.0,0.0,1.0,0.0
negative,0.5870328529538797,-0.5719,1.0,0.0,0.0
news,0.14313682562655258,0.0,0.0,1.0,0.0
real,0.21000774908374875,0.0,0.0,1.0,0.0
estate,0.21000774908374875,0.0,0.0,1.0,0.0
mortgage,0.14313682562655258,0.0,0.0,1.0,0.0
markets,2.3729443262746135,0.0,0.0,1.0,0.0
declines,0.3110091075171623,0.0,0.0,1.0,0.0
income,0.4082288395234724,0.0,0.0,1.0,0.0
asset,0.44559225998604834,0.3612,0.0,0.0,1.0
values,0.4364650053912726,0.4019,0.0,0.0,1.0
energy,0.14313682562655258,0.2732,0.0,0.0,1.0
shortages,0.7274464405536597,-0.1531,1.0,0.0,0.0
cost,2.5752849136760245,0.0,0.0,1.0,0.0
increases,0.4852396057817039,0.0,0.0,1.0,0.0
labor,0.8112452356619375,0.0,0.0,1.0,0.0
healthcare,0.37951322526761444,0.0,0.0,1.0,0.0
costs,3.012716955172125,0.0,0.0,1.0,0.0
uncertainty,0.5862409642151174,-0.34,1.0,0.0,0.0
decline,0.6322681208507124,0.0,0.0,1.0,0.0
significant,5.771585327481461,0.2023,0.0,0.0,1.0
suppliers,2.8553184084447696,0.0,0.0,1.0,0.0
contract,0.5749508576569217,0.0,0.0,1.0,0.0
manufacturers,0.7011986442697942,0.0,0.0,1.0,0.0
logistics,0.8453756706381548,0.0,0.0,1.0,0.0
providers,0.9885124962647072,0.0,0.0,1.0,0.0
distributors,0.6672534829311573,0.0,0.0,1.0,0.0
cellular,1.2232557016125132,0.0,0.0,1.0,0.0
network,1.828767732639954,0.0,0.0,1.0,0.0
